video_path,source_dataset,source_video_id,original_split,label
..\data\raw\rwf2000\train\Train_Fight\1dsLuL5Lvbc_1.avi,RWF-2000,1dsLuL5Lvbc_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\1dsLuL5Lvbc_2.avi,RWF-2000,1dsLuL5Lvbc_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\1dsLuL5Lvbc_3.avi,RWF-2000,1dsLuL5Lvbc_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\1DwRGRND_0.avi,RWF-2000,1DwRGRND_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\1DwRGRND_1.avi,RWF-2000,1DwRGRND_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\1O4KGHbRt3M_0.avi,RWF-2000,1O4KGHbRt3M_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\1O4KGHbRt3M_1.avi,RWF-2000,1O4KGHbRt3M_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\1O4KGHbRt3M_2.avi,RWF-2000,1O4KGHbRt3M_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\1O4KGHbRt3M_3.avi,RWF-2000,1O4KGHbRt3M_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\1O4KGHbRt3M_4.avi,RWF-2000,1O4KGHbRt3M_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\1r0Wz04q_0.avi,RWF-2000,1r0Wz04q_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\1tU4kxa51vw_1.avi,RWF-2000,1tU4kxa51vw_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\1XFiS6Lt_0.avi,RWF-2000,1XFiS6Lt_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\1XFiS6Lt_1.avi,RWF-2000,1XFiS6Lt_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37.avi,RWF-2000,20130506 05_58 ╤ê╨º╨¡╤äΓòæΓòæ ╤ëΓòù╨í╤å╨«╨¡_37,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_0.avi,RWF-2000,24E0xYYUz44_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_1.avi,RWF-2000,24E0xYYUz44_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_2.avi,RWF-2000,24E0xYYUz44_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_3.avi,RWF-2000,24E0xYYUz44_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_4.avi,RWF-2000,24E0xYYUz44_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_5.avi,RWF-2000,24E0xYYUz44_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_6.avi,RWF-2000,24E0xYYUz44_6,train,violence
..\data\raw\rwf2000\train\Train_Fight\24E0xYYUz44_7.avi,RWF-2000,24E0xYYUz44_7,train,violence
..\data\raw\rwf2000\train\Train_Fight\2hQMRq06NJs_0.avi,RWF-2000,2hQMRq06NJs_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\2sy_eLpH-PI_0.avi,RWF-2000,2sy_eLpH-PI_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\2sy_eLpH-PI_1.avi,RWF-2000,2sy_eLpH-PI_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\3CQi0ZCCHvc_0.avi,RWF-2000,3CQi0ZCCHvc_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\3CQi0ZCCHvc_1.avi,RWF-2000,3CQi0ZCCHvc_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\3CQi0ZCCHvc_2.avi,RWF-2000,3CQi0ZCCHvc_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\3kpviz7lAMY_0.avi,RWF-2000,3kpviz7lAMY_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\3kpviz7lAMY_1.avi,RWF-2000,3kpviz7lAMY_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\3kpviz7lAMY_2.avi,RWF-2000,3kpviz7lAMY_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\3kpviz7lAMY_3.avi,RWF-2000,3kpviz7lAMY_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\3kpviz7lAMY_4.avi,RWF-2000,3kpviz7lAMY_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\3OKArbzg1uc_0.avi,RWF-2000,3OKArbzg1uc_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\3OKArbzg1uc_1.avi,RWF-2000,3OKArbzg1uc_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\3OKArbzg1uc_2.avi,RWF-2000,3OKArbzg1uc_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\3OKArbzg1uc_3.avi,RWF-2000,3OKArbzg1uc_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\3OKArbzg1uc_4.avi,RWF-2000,3OKArbzg1uc_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\3SS0E4SmTk8_0.avi,RWF-2000,3SS0E4SmTk8_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\3SS0E4SmTk8_1.avi,RWF-2000,3SS0E4SmTk8_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\3Vw7MoNBgx4_0.avi,RWF-2000,3Vw7MoNBgx4_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\4HH7yMU8y9A_0.avi,RWF-2000,4HH7yMU8y9A_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\4HH7yMU8y9A_1.avi,RWF-2000,4HH7yMU8y9A_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_0.avi,RWF-2000,4RqDG4I4iAk_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_1.avi,RWF-2000,4RqDG4I4iAk_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_2.avi,RWF-2000,4RqDG4I4iAk_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_3.avi,RWF-2000,4RqDG4I4iAk_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_4.avi,RWF-2000,4RqDG4I4iAk_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_5.avi,RWF-2000,4RqDG4I4iAk_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_6.avi,RWF-2000,4RqDG4I4iAk_6,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_7.avi,RWF-2000,4RqDG4I4iAk_7,train,violence
..\data\raw\rwf2000\train\Train_Fight\4RqDG4I4iAk_8.avi,RWF-2000,4RqDG4I4iAk_8,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yTlGiDoxBo_0.avi,RWF-2000,4yTlGiDoxBo_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yTlGiDoxBo_1.avi,RWF-2000,4yTlGiDoxBo_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yTlGiDoxBo_2.avi,RWF-2000,4yTlGiDoxBo_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yTlGiDoxBo_3.avi,RWF-2000,4yTlGiDoxBo_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yTlGiDoxBo_4.avi,RWF-2000,4yTlGiDoxBo_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yTlGiDoxBo_5.avi,RWF-2000,4yTlGiDoxBo_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\4yzwSsis_0.avi,RWF-2000,4yzwSsis_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\5QqDgtwEQsI_0.avi,RWF-2000,5QqDgtwEQsI_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\6Dej3-k3MRE_0.avi,RWF-2000,6Dej3-k3MRE_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\6Dej3-k3MRE_1.avi,RWF-2000,6Dej3-k3MRE_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\6Dej3-k3MRE_2.avi,RWF-2000,6Dej3-k3MRE_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\6Dej3-k3MRE_3.avi,RWF-2000,6Dej3-k3MRE_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\6Dej3-k3MRE_4.avi,RWF-2000,6Dej3-k3MRE_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\6Dej3-k3MRE_5.avi,RWF-2000,6Dej3-k3MRE_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\6mrIIcAQ2fI_0.avi,RWF-2000,6mrIIcAQ2fI_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\6mrIIcAQ2fI_2.avi,RWF-2000,6mrIIcAQ2fI_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\6mrIIcAQ2fI_3.avi,RWF-2000,6mrIIcAQ2fI_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\6TDF_12.avi,RWF-2000,6TDF_12,train,violence
..\data\raw\rwf2000\train\Train_Fight\6TDF_13.avi,RWF-2000,6TDF_13,train,violence
..\data\raw\rwf2000\train\Train_Fight\6TDF_14.avi,RWF-2000,6TDF_14,train,violence
..\data\raw\rwf2000\train\Train_Fight\6TDF_15.avi,RWF-2000,6TDF_15,train,violence
..\data\raw\rwf2000\train\Train_Fight\6TDF_27.avi,RWF-2000,6TDF_27,train,violence
..\data\raw\rwf2000\train\Train_Fight\7LnoFKSl2rs_0.avi,RWF-2000,7LnoFKSl2rs_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\7qtRgyFsk3s_0.avi,RWF-2000,7qtRgyFsk3s_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\7qtRgyFsk3s_1.avi,RWF-2000,7qtRgyFsk3s_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\7R1m3V8C30g_0.avi,RWF-2000,7R1m3V8C30g_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\7R1m3V8C30g_1.avi,RWF-2000,7R1m3V8C30g_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\7R1m3V8C30g_2.avi,RWF-2000,7R1m3V8C30g_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\7Xe6eysGKeU_0.avi,RWF-2000,7Xe6eysGKeU_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\88ndrvAZpE8_0.avi,RWF-2000,88ndrvAZpE8_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\88ndrvAZpE8_1.avi,RWF-2000,88ndrvAZpE8_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\89UQqPuR4Q4_0.avi,RWF-2000,89UQqPuR4Q4_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\8bEO4LGr_0.avi,RWF-2000,8bEO4LGr_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\8mxsp2RTU6M_0.avi,RWF-2000,8mxsp2RTU6M_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\8pKKdS7rhXo_0.avi,RWF-2000,8pKKdS7rhXo_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\8pKKdS7rhXo_1.avi,RWF-2000,8pKKdS7rhXo_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\8pKKdS7rhXo_2.avi,RWF-2000,8pKKdS7rhXo_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\8SWZq5we_fk_0.avi,RWF-2000,8SWZq5we_fk_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\8SWZq5we_fk_1.avi,RWF-2000,8SWZq5we_fk_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\8VqTmuq4HcI_0.avi,RWF-2000,8VqTmuq4HcI_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\91TniI0y_0.avi,RWF-2000,91TniI0y_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\9ErNHIovPDI_0.avi,RWF-2000,9ErNHIovPDI_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\9U8J4abJGDg_0.avi,RWF-2000,9U8J4abJGDg_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\a2qLzOu_n0s_0.avi,RWF-2000,a2qLzOu_n0s_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\a2qLzOu_n0s_1.avi,RWF-2000,a2qLzOu_n0s_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\a2qLzOu_n0s_2.avi,RWF-2000,a2qLzOu_n0s_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\a2qLzOu_n0s_3.avi,RWF-2000,a2qLzOu_n0s_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\a2qLzOu_n0s_4.avi,RWF-2000,a2qLzOu_n0s_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\a7D2i0HTXGM_0.avi,RWF-2000,a7D2i0HTXGM_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\a7D2i0HTXGM_1.avi,RWF-2000,a7D2i0HTXGM_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\a7D2i0HTXGM_2.avi,RWF-2000,a7D2i0HTXGM_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\a7gBQaAFEtw_2.avi,RWF-2000,a7gBQaAFEtw_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\a7gBQaAFEtw_4.avi,RWF-2000,a7gBQaAFEtw_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\adg5WJ6y_1.avi,RWF-2000,adg5WJ6y_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\aIg9Yb0O7Hg_0.avi,RWF-2000,aIg9Yb0O7Hg_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\aIg9Yb0O7Hg_1.avi,RWF-2000,aIg9Yb0O7Hg_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\aIg9Yb0O7Hg_2.avi,RWF-2000,aIg9Yb0O7Hg_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\aIg9Yb0O7Hg_3.avi,RWF-2000,aIg9Yb0O7Hg_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\aIg9Yb0O7Hg_4.avi,RWF-2000,aIg9Yb0O7Hg_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\aIg9Yb0O7Hg_5.avi,RWF-2000,aIg9Yb0O7Hg_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\aKgSasWRJ2s_0.avi,RWF-2000,aKgSasWRJ2s_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\aKgSasWRJ2s_1.avi,RWF-2000,aKgSasWRJ2s_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\aKgSasWRJ2s_2.avi,RWF-2000,aKgSasWRJ2s_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\aKgSasWRJ2s_3.avi,RWF-2000,aKgSasWRJ2s_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\aKK0B4kpKZA_0.avi,RWF-2000,aKK0B4kpKZA_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\aKK0B4kpKZA_1.avi,RWF-2000,aKK0B4kpKZA_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\AkTZX27QhjE_1.avi,RWF-2000,AkTZX27QhjE_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\AkTZX27QhjE_2.avi,RWF-2000,AkTZX27QhjE_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\AkTZX27QhjE_3.avi,RWF-2000,AkTZX27QhjE_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\AkTZX27QhjE_4.avi,RWF-2000,AkTZX27QhjE_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\Am9mUxPTvK4_0.avi,RWF-2000,Am9mUxPTvK4_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\Am9mUxPTvK4_1.avi,RWF-2000,Am9mUxPTvK4_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\API3q8TBGu4_0.avi,RWF-2000,API3q8TBGu4_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\ar5ns2zW4lY_0.avi,RWF-2000,ar5ns2zW4lY_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\ar5ns2zW4lY_1.avi,RWF-2000,ar5ns2zW4lY_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\as4zD6d86q0_0.avi,RWF-2000,as4zD6d86q0_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\as4zD6d86q0_1.avi,RWF-2000,as4zD6d86q0_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\as4zD6d86q0_2.avi,RWF-2000,as4zD6d86q0_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_107.avi,RWF-2000,asdasda_107,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_108.avi,RWF-2000,asdasda_108,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_109.avi,RWF-2000,asdasda_109,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_110.avi,RWF-2000,asdasda_110,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_111.avi,RWF-2000,asdasda_111,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_112.avi,RWF-2000,asdasda_112,train,violence
..\data\raw\rwf2000\train\Train_Fight\asdasda_113.avi,RWF-2000,asdasda_113,train,violence
..\data\raw\rwf2000\train\Train_Fight\AsGAgf8U2rk_0.avi,RWF-2000,AsGAgf8U2rk_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_0.avi,RWF-2000,b6XfVAZC9Zs_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_1.avi,RWF-2000,b6XfVAZC9Zs_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_2.avi,RWF-2000,b6XfVAZC9Zs_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_3.avi,RWF-2000,b6XfVAZC9Zs_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_4.avi,RWF-2000,b6XfVAZC9Zs_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_6.avi,RWF-2000,b6XfVAZC9Zs_6,train,violence
..\data\raw\rwf2000\train\Train_Fight\b6XfVAZC9Zs_7.avi,RWF-2000,b6XfVAZC9Zs_7,train,violence
..\data\raw\rwf2000\train\Train_Fight\BCVBVC_263.avi,RWF-2000,BCVBVC_263,train,violence
..\data\raw\rwf2000\train\Train_Fight\BCVBVC_264.avi,RWF-2000,BCVBVC_264,train,violence
..\data\raw\rwf2000\train\Train_Fight\bd48s5BpoGY_0.avi,RWF-2000,bd48s5BpoGY_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\bdZ7ubago6I_0.avi,RWF-2000,bdZ7ubago6I_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\bdZ7ubago6I_1.avi,RWF-2000,bdZ7ubago6I_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\BpargJW29Wo_0.avi,RWF-2000,BpargJW29Wo_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\BpargJW29Wo_1.avi,RWF-2000,BpargJW29Wo_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\BpargJW29Wo_2.avi,RWF-2000,BpargJW29Wo_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\BpargJW29Wo_3.avi,RWF-2000,BpargJW29Wo_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\BpargJW29Wo_4.avi,RWF-2000,BpargJW29Wo_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\bqZo64e6_0.avi,RWF-2000,bqZo64e6_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\bqZo64e6_1.avi,RWF-2000,bqZo64e6_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\bqZo64e6_2.avi,RWF-2000,bqZo64e6_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_0.avi,RWF-2000,bzw-HKuuQbg_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_1.avi,RWF-2000,bzw-HKuuQbg_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_2.avi,RWF-2000,bzw-HKuuQbg_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_3.avi,RWF-2000,bzw-HKuuQbg_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_4.avi,RWF-2000,bzw-HKuuQbg_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_5.avi,RWF-2000,bzw-HKuuQbg_5,train,violence
..\data\raw\rwf2000\train\Train_Fight\bzw-HKuuQbg_6.avi,RWF-2000,bzw-HKuuQbg_6,train,violence
..\data\raw\rwf2000\train\Train_Fight\C4SQF-UZzkA_2.avi,RWF-2000,C4SQF-UZzkA_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\C8wt47cphU8_0.avi,RWF-2000,C8wt47cphU8_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\C8wt47cphU8_1.avi,RWF-2000,C8wt47cphU8_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\cAp5A44HRS8_0.avi,RWF-2000,cAp5A44HRS8_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\cAp5A44HRS8_1.avi,RWF-2000,cAp5A44HRS8_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\CBfRtxkO1bE_0.avi,RWF-2000,CBfRtxkO1bE_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\CBfRtxkO1bE_1.avi,RWF-2000,CBfRtxkO1bE_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\CBfRtxkO1bE_2.avi,RWF-2000,CBfRtxkO1bE_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\CBfRtxkO1bE_3.avi,RWF-2000,CBfRtxkO1bE_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\cBNVcBk3rjg_0.avi,RWF-2000,cBNVcBk3rjg_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\cBNVcBk3rjg_1.avi,RWF-2000,cBNVcBk3rjg_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\cBNVcBk3rjg_2.avi,RWF-2000,cBNVcBk3rjg_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\cBNVcBk3rjg_3.avi,RWF-2000,cBNVcBk3rjg_3,train,violence
..\data\raw\rwf2000\train\Train_Fight\cBNVcBk3rjg_4.avi,RWF-2000,cBNVcBk3rjg_4,train,violence
..\data\raw\rwf2000\train\Train_Fight\Cce4ogHp_0.avi,RWF-2000,Cce4ogHp_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\Cce4ogHp_1.avi,RWF-2000,Cce4ogHp_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\cJvLTWGs-SE_0.avi,RWF-2000,cJvLTWGs-SE_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\cJvLTWGs-SE_1.avi,RWF-2000,cJvLTWGs-SE_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\CqJB8ZWLZ-o_0.avi,RWF-2000,CqJB8ZWLZ-o_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\CqJB8ZWLZ-o_1.avi,RWF-2000,CqJB8ZWLZ-o_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\cWJ92fkhME4_0.avi,RWF-2000,cWJ92fkhME4_0,train,violence
..\data\raw\rwf2000\train\Train_Fight\cy1gi3ZJb_c_1.avi,RWF-2000,cy1gi3ZJb_c_1,train,violence
..\data\raw\rwf2000\train\Train_Fight\cy1gi3ZJb_c_2.avi,RWF-2000,cy1gi3ZJb_c_2,train,violence
..\data\raw\rwf2000\train\Train_Fight\cy1gi3ZJb_c_3.avi,RWF-2000,cy1gi3ZJb_c_3,train,violence
